CubeCornerPermutation	CubeCornerOrientation	CubeEdgePermutation	CubeEdgeOrientation	InvCubeCornerPermutation	InvCubeCornerOrientation	InvCubeEdgePermutation	InvCubeEdgeOrientation
DRB,UFL,DLF,DFR,DBL,UBR,URF,ULB	1,2,0,1,0,1,1,0	FL,UF,DL,BL,DB,UL,DR,UR,UB,FR,BR,DF	0,0,1,0,0,0,0,0,0,0,1,0	DBL,UFL,DRB,DLF,UBR,ULB,DFR,URF	2,1,0,2,2,0,0,2	DB,UF,DF,FR,DL,BR,UL,DR,FL,UR,UB,BL	0,0,0,0,0,0,1,0,0,0,0,1
DLF,DRB,DBL,UFL,UBR,DFR,ULB,URF	0,0,1,0,1,1,1,2	BL,UF,FR,DL,DR,BR,DF,DB,UL,UR,FL,UB	1,0,1,1,0,0,1,1,1,1,1,0	DRB,UBR,DBL,DFR,DLF,URF,ULB,UFL	1,0,2,2,2,0,2,0	FL,UF,FR,BR,DR,DL,UB,DB,UL,BL,UR,DF	1,0,1,0,0,1,1,1,1,1,1,0
UBR,DRB,URF,DBL,DFR,UFL,ULB,DLF	0,1,0,1,0,1,1,2	UL,FL,FR,DF,DR,UR,DL,BR,BL,UB,DB,UF	1,1,1,1,1,1,0,0,1,1,0,0	ULB,DLF,DBL,URF,DFR,DRB,UBR,UFL	0,2,2,0,0,1,2,2	DF,BR,UR,FL,DR,UB,DL,BL,UL,UF,FR,DB	1,0,1,1,1,1,0,0,1,1,1,0
UFL,UBR,DBL,DFR,DLF,URF,DRB,ULB	2,2,2,1,2,2,0,1	FR,DF,FL,BR,UL,DL,UR,DB,DR,UF,BL,UB	0,1,1,1,0,0,1,1,1,1,0,1	DLF,URF,DRB,UFL,UBR,DFR,ULB,DBL	1,1,2,1,2,1,1,0	DL,FL,DR,BR,FR,UF,DF,DB,UR,UL,BL,UB	1,1,0,1,1,1,0,1,0,1,0,1
ULB,UBR,DFR,DBL,UFL,URF,DLF,DRB	2,1,0,0,2,0,0,1	BL,FR,UR,DR,UF,DL,DF,UB,BR,UL,DB,FL	0,1,0,1,0,1,0,1,0,1,1,0	DLF,DFR,URF,UFL,ULB,DBL,UBR,DRB	0,1,1,2,0,0,0,2	UL,DR,FL,DB,UB,DL,DF,BL,UF,BR,UR,FR	0,0,1,1,1,0,1,1,1,0,0,0
DFR,UBR,ULB,UFL,DRB,DBL,DLF,URF	1,1,2,2,1,0,2,0	BL,UB,UL,FL,UR,BR,FR,DL,UF,DR,DF,DB	0,0,1,1,1,1,1,0,0,1,1,1	DRB,UBR,ULB,UFL,URF,DBL,DLF,DFR	0,1,1,2,2,1,0,2	DR,FR,UL,UF,FL,BL,DB,BR,DL,UB,UR,DF	1,0,1,0,1,1,0,1,1,1,0,1
ULB,UBR,DLF,DRB,UFL,DBL,URF,DFR	1,0,2,1,0,1,2,2	UF,DB,DR,BL,FL,UL,DF,UR,UB,FR,BR,DL	1,1,1,1,0,0,0,1,1,1,0,1	DBL,DFR,URF,UFL,DRB,ULB,DLF,UBR	1,0,2,0,1,1,2,2	DB,UR,DF,FR,UL,DL,BR,UF,FL,DR,UB,BL	1,1,0,1,1,0,1,1,1,0,1,0
ULB,UFL,URF,DLF,UBR,DBL,DFR,DRB	0,1,1,2,2,1,1,1	UB,DL,UR,UL,UF,FR,DB,DF,BR,BL,DR,FL	0,1,0,1,0,1,1,0,0,0,1,1	ULB,UFL,URF,DFR,DBL,UBR,DLF,DRB	2,2,0,1,2,1,2,2	UL,DR,UB,UR,BL,DB,UF,DL,DF,BR,FL,FR	0,0,1,0,1,0,1,1,1,1,0,0
DFR,ULB,URF,UBR,DRB,UFL,DBL,DLF	0,1,1,1,2,2,1,1	DL,UB,UF,UL,UR,FL,DB,DF,FR,BR,DR,BL	0,0,1,0,0,0,1,0,1,0,0,1	ULB,DLF,UFL,UBR,URF,DRB,DBL,DFR	2,1,2,2,0,2,2,1	DR,UL,UB,UF,BL,DB,UR,DL,FR,DF,BR,FL	0,1,0,0,0,0,0,1,1,0,1,0
DLF,UBR,ULB,DFR,UFL,DRB,URF,DBL	1,0,1,2,1,0,0,1	FR,BR,UB,DF,UR,DL,BL,UF,DB,FL,UL,DR	0,0,1,1,0,1,0,1,1,0,0,1	DBL,DFR,ULB,UFL,UBR,URF,DRB,DLF	0,2,2,0,1,2,2,0	DR,DB,BL,UL,BR,UB,DF,FR,UR,FL,DL,UF	0,1,0,1,1,1,1,1,0,0,0,0
UBR,DBL,ULB,URF,DLF,DRB,DFR,UFL	0,1,0,1,1,0,2,1	UF,UL,DL,FR,DF,UR,DB,UB,BL,DR,BR,FL	0,0,0,0,1,0,0,1,0,1,0,1	UBR,DRB,ULB,URF,DBL,DFR,UFL,DLF	2,2,0,0,1,2,2,0	DF,UR,UF,DB,FL,DR,UL,DL,UB,BR,FR,BL	0,0,0,1,1,1,0,0,0,1,0,0
URF,DRB,DBL,DFR,UBR,UFL,ULB,DLF	1,1,0,1,1,1,2,2	UB,UF,DB,DR,BR,FL,DF,UL,UR,FR,BL,DL	0,0,1,0,0,1,0,0,1,1,0,0	URF,DLF,DBL,DFR,UBR,DRB,ULB,UFL	2,2,1,2,2,1,0,2	FR,UF,DB,UR,UB,DL,BR,UL,FL,DF,BL,DR	1,0,0,0,0,0,0,1,1,1,0,0
DFR,DRB,ULB,UBR,DBL,DLF,URF,UFL	0,0,1,1,1,2,1,0	BR,UB,UL,DB,FL,DL,UR,DF,UF,FR,BL,DR	0,1,1,0,1,1,0,0,0,1,1,0	DBL,DRB,ULB,UBR,URF,DLF,DFR,UFL	2,0,2,2,0,1,2,0	DL,FR,UL,UF,BR,DB,DF,UB,FL,DR,BL,UR	0,0,1,1,0,0,1,0,1,1,1,0
DLF,URF,UBR,DBL,DFR,UFL,ULB,DRB	1,1,1,1,0,2,0,0	FR,DL,UR,DF,DB,UF,UL,DR,FL,BR,UB,BL	0,0,0,1,0,1,1,0,0,0,0,1	UFL,DLF,DBL,ULB,DFR,URF,UBR,DRB	2,1,0,2,0,2,2,0	UL,DF,DL,BL,DB,UB,UF,DR,UR,FR,BR,FL	0,1,1,0,0,1,0,0,0,0,1,0
UFL,ULB,DBL,DFR,UBR,URF,DLF,DRB	0,0,0,1,0,0,0,2	DL,BR,FR,UL,UR,DB,FL,UF,BL,DR,UB,DF	1,0,0,0,1,1,0,1,0,1,1,0	DLF,URF,UFL,DFR,UBR,DBL,ULB,DRB	0,0,0,0,2,0,0,1	DR,DB,UB,BL,FL,BR,UR,DF,UL,DL,FR,UF	1,1,0,1,1,0,1,1,0,0,0,0
ULB,UFL,UBR,DBL,DLF,DRB,DFR,URF	0,0,2,0,2,2,2,1	UB,BR,UF,FR,FL,DF,DB,DL,UR,DR,BL,UL	1,0,1,1,1,0,0,1,0,0,0,1	DRB,UFL,URF,ULB,DBL,DFR,UBR,DLF	2,0,0,1,1,1,0,1	FR,UL,BR,UR,FL,DF,DB,DL,UB,DR,BL,UF	0,1,1,1,0,0,1,0,1,1,0,0
DBL,DFR,DLF,DRB,UBR,URF,ULB,UFL	0,0,2,0,1,1,0,2	UB,FR,DL,FL,DF,DB,UL,BR,UR,BL,DR,UF	0,1,1,0,0,1,0,0,0,0,0,1	DLF,DRB,DBL,DFR,UFL,ULB,URF,UBR	2,1,0,2,0,1,0,0	FR,BR,DL,UR,BL,DR,UL,DF,UF,UB,FL,DB	0,1,0,0,0,0,1,1,1,0,0,0
UFL,DLF,DFR,DRB,URF,ULB,UBR,DBL	2,0,2,0,2,0,1,2	BR,DL,FL,UB,DF,UR,BL,DB,UL,FR,DR,UF	0,1,1,0,1,1,0,0,1,0,1,0	DFR,URF,DLF,DBL,ULB,UFL,DRB,UBR	1,1,0,2,1,0,1,0	DF,BR,FR,UB,BL,DR,UF,DB,FL,UL,DL,UR	1,0,1,0,1,1,1,0,0,1,0,0
DLF,UBR,ULB,UFL,DBL,DRB,URF,DFR	1,1,2,2,1,0,2,0	UL,DB,FL,UF,BR,DR,DL,BL,FR,UR,UB,DF	0,0,0,0,1,0,1,1,0,0,0,1	DBL,UBR,ULB,UFL,DRB,URF,DFR,DLF	1,1,1,2,0,2,2,0	FL,UB,UR,BL,DF,BR,DL,UF,FR,UL,DB,DR	0,0,0,0,0,1,1,0,0,0,1,1
DRB,ULB,UBR,DBL,DFR,DLF,UFL,URF	1,2,0,0,2,2,0,2	DF,DL,UB,FR,BL,UL,UR,FL,DB,BR,DR,UF	0,1,1,1,0,1,1,1,0,0,1,1	DRB,DBL,UFL,ULB,DFR,DLF,UBR,URF	1,0,1,0,1,1,0,2	DL,BR,DF,UL,BL,UR,UF,FR,UB,DB,DR,FL	1,1,1,1,1,0,1,0,1,1,0,0
DBL,UFL,UBR,DFR,DRB,ULB,DLF,URF	1,2,1,2,2,1,1,2	UF,DB,DR,FL,DF,DL,BR,UR,UB,UL,FR,BL	1,1,0,1,0,0,1,0,0,0,0,0	DRB,UFL,DLF,ULB,UBR,DBL,URF,DFR	1,1,2,2,1,2,2,1	DB,UR,FL,FR,UL,DR,DF,UF,BL,UB,BR,DL	0,1,0,0,0,0,0,1,0,1,0,1
ULB,DRB,UBR,DFR,URF,DLF,DBL,UFL	1,1,2,0,0,2,2,1	UF,FL,UB,FR,UL,DF,BL,UR,DB,DR,DL,BR	1,0,1,1,1,1,1,0,0,0,0,0	DFR,DRB,URF,ULB,UBR,DLF,DBL,UFL	0,2,2,1,0,1,1,2	DB,UR,DR,UL,FL,DF,BL,FR,UB,UF,DL,BR	0,1,1,1,0,1,0,0,1,0,1,0
DFR,URF,UBR,DBL,DRB,ULB,UFL,DLF	2,2,2,2,0,0,0,1	UR,BR,UF,FR,DR,DL,UL,DB,UB,DF,FL,BL	0,0,1,1,1,0,1,1,1,1,1,0	UFL,DBL,DLF,ULB,URF,DRB,UBR,DFR	1,0,0,1,1,2,1,0	UR,UL,DL,FR,DR,FL,DF,DB,UB,BL,BR,UF	0,1,1,1,1,1,0,1,1,1,0,0
UBR,DRB,DLF,DFR,DBL,UFL,ULB,URF	0,1,1,0,0,2,0,2	DB,FR,DR,UL,UR,UF,DL,BL,UB,DF,FL,BR	1,1,1,1,0,1,0,1,0,0,0,0	DRB,DLF,DBL,URF,UBR,ULB,DFR,UFL	1,1,0,0,0,2,0,2	DR,DF,UB,FR,UL,FL,DL,UR,UF,BL,DB,BR	0,1,1,0,1,0,0,1,1,0,1,0
UFL,ULB,DBL,UBR,DLF,URF,DRB,DFR	2,0,2,1,2,2,2,1	FR,FL,BL,DF,UL,DL,UF,UB,BR,DB,UR,DR	1,0,1,1,0,0,1,1,1,0,0,0	DLF,URF,UFL,UBR,DRB,DFR,ULB,DBL	1,1,0,2,2,1,1,1	BL,DL,DR,DB,BR,UB,DF,FL,UR,UF,UL,FR	0,1,0,1,0,1,0,0,1,0,1,1
UFL,DLF,DRB,DFR,URF,ULB,DBL,UBR	1,1,1,2,0,2,0,2	UF,DB,BR,DF,UR,UB,DR,BL,DL,FL,FR,UL	0,0,0,0,1,1,0,1,0,1,1,1	DFR,URF,DLF,DRB,UBR,UFL,DBL,ULB	0,2,1,1,1,2,0,2	DR,UR,BR,DF,DL,UB,FR,UF,BL,FL,DB,UL	1,0,1,1,0,0,0,0,1,1,1,0
UBR,DFR,DLF,UFL,URF,DBL,DRB,ULB	0,1,1,1,1,0,0,2	UB,UL,BL,DB,FR,DF,BR,FL,DL,UF,DR,UR	1,1,0,0,0,1,1,1,1,1,0,1	DFR,UBR,DRB,URF,UFL,ULB,DLF,DBL	2,2,1,0,2,2,0,0	BR,FL,UF,UR,BL,DF,FR,UB,DR,DB,UL,DL	1,1,1,1,0,1,1,0,0,1,0,1
ULB,DFR,DRB,URF,DLF,UFL,UBR,DBL	2,0,1,1,2,1,1,1	FR,DL,UR,BR,BL,DB,UL,UB,DR,DF,UF,FL	1,0,1,0,0,1,0,0,1,0,1,1	UBR,DLF,URF,DBL,UFL,DFR,DRB,ULB	2,2,1,2,0,1,2,2	UL,BL,DL,DB,FR,FL,UF,DF,UR,BR,DR,UB	1,1,0,0,1,0,0,1,1,1,0,0
URF,UBR,DRB,ULB,UFL,DLF,DFR,DBL	2,1,1,1,1,2,1,0	BL,BR,UB,DB,FR,UF,UR,DF,UL,DR,FL,DL	1,0,1,0,1,1,0,1,0,0,0,1	URF,DFR,UBR,UFL,DBL,DLF,DRB,ULB	1,2,2,2,2,1,0,2	DL,DF,FR,UL,FL,DB,BR,UB,DR,BL,UR,UF	0,1,0,1,0,1,1,0,1,0,1,0
ULB,DRB,UBR,DBL,DFR,DLF,UFL,URF	0,0,0,1,0,0,0,2	DL,DR,UB,FR,UR,FL,UF,BR,BL,DF,DB,UL	1,0,1,1,0,0,0,1,1,1,0,0	DRB,DBL,URF,ULB,DFR,DLF,UBR,UFL	1,0,0,0,0,0,2,0	DR,DL,BR,UL,UF,FL,UR,BL,UB,DF,FR,DB	0,0,0,1,0,1,1,0,1,0,1,1
URF,DLF,UFL,UBR,ULB,DFR,DRB,DBL	0,1,1,0,1,1,1,1	DL,FR,FL,DF,UB,DB,BR,UF,BL,UR,DR,UL	1,1,0,0,0,0,0,1,0,1,1,1	URF,ULB,DFR,UBR,DLF,UFL,DRB,DBL	0,2,2,0,2,2,2,2	FL,DB,BR,DR,BL,UB,UR,DF,UF,UL,FR,DL	1,1,1,0,1,0,1,0,1,0,0,0
DFR,UBR,DLF,ULB,DBL,UFL,DRB,URF	1,0,1,1,1,0,2,0	DB,UB,BR,DL,UR,DF,UF,BL,UL,DR,FL,FR	0,1,0,0,0,1,1,1,0,1,0,1	DRB,DLF,UBR,UFL,URF,ULB,DFR,DBL	0,0,2,0,2,2,2,1	DR,DL,FR,UF,FL,DF,UB,UR,BR,BL,DB,UL	0,1,0,1,1,1,0,0,1,0,1,0
UBR,ULB,URF,DBL,DFR,DLF,UFL,DRB	2,2,0,2,1,2,0,0	FR,DL,UB,FL,UL,DB,DF,BR,BL,DR,UF,UR	1,1,1,0,1,0,1,0,1,0,0,0	ULB,DBL,UFL,URF,DFR,DLF,UBR,DRB	0,0,1,1,2,1,1,0	BR,BL,DR,UL,FL,DL,UF,DF,UR,UB,FR,DB	0,0,1,1,0,1,1,0,1,0,1,0
ULB,DFR,DLF,DRB,DBL,URF,UBR,UFL	2,1,0,2,0,0,2,2	UL,UB,DB,UF,DR,BL,DF,BR,FR,FL,DL,UR	1,0,1,0,1,1,0,0,0,1,1,0	DLF,DRB,URF,DBL,UFL,ULB,DFR,UBR	0,1,1,1,2,0,0,1	BR,UB,UR,UF,DR,DL,BL,UL,FR,FL,DF,DB	0,0,1,0,1,0,1,1,0,1,1,0
DBL,URF,ULB,DRB,UBR,UFL,DLF,DFR	1,2,0,1,2,2,1,0	UR,DB,BL,DF,UF,FL,BR,UB,DR,FR,DL,UL	1,0,1,1,0,0,1,1,0,0,1,0	UFL,DLF,ULB,DFR,DRB,DBL,URF,UBR	1,1,0,1,0,2,2,2	UR,DR,BR,DB,FR,UB,BL,UF,FL,DF,UL,DL	1,0,0,1,0,1,1,0,0,0,1,1
DBL,UFL,DFR,UBR,URF,ULB,DRB,DLF	0,2,2,2,2,1,0,0	DF,UB,UL,FL,BL,DL,DB,UR,FR,DR,UF,BR	0,1,0,1,1,0,1,1,0,1,0,0	DFR,UFL,DLF,UBR,ULB,DRB,URF,DBL	1,1,2,1,1,0,0,0	DB,BL,UL,UF,FL,UR,DF,DL,FR,UB,DR,BR	1,0,0,1,1,0,0,1,0,1,1,0
DRB,UFL,DBL,ULB,URF,DLF,DFR,UBR	2,2,0,2,1,1,1,0	BL,BR,UR,FR,UB,UF,DF,DB,DR,DL,FL,UL	0,0,0,1,1,0,1,0,0,0,1,0	DFR,UFL,UBR,DRB,DBL,DLF,ULB,URF	2,1,1,0,2,2,0,1	UL,DF,BR,DR,FR,DL,FL,DB,UB,BL,UR,UF	0,0,0,1,0,1,0,0,1,1,0,0
