Up	Down	Front	Back	Left	Right	AlgoRep
ORANGE,WHITE,RED,ORANGE,YELLOW,WHITE,RED,ORANGE,BLUE,	ORANGE,YELLOW,WHITE,YELLOW,WHITE,ORANGE,ORANGE,GREEN,BLUE,	GREEN,GREEN,RED,BLUE,BLUE,YELLOW,YELLOW,GREEN,BLUE,	YELLOW,GREEN,BLUE,BLUE,GREEN,WHITE,ORANGE,RED,WHITE,	YELLOW,BLUE,WHITE,BLUE,ORANGE,YELLOW,GREEN,ORANGE,GREEN,	YELLOW,RED,GREEN,RED,RED,RED,RED,WHITE,WHITE,	LDRLUDRLFURBRRRRDDBBRFFUUBFLUDUDLLBFUFDFLUBLBUBFFBDLRD
BLUE,YELLOW,GREEN,YELLOW,YELLOW,BLUE,ORANGE,GREEN,ORANGE,	GREEN,ORANGE,RED,RED,WHITE,ORANGE,GREEN,BLUE,BLUE,	WHITE,YELLOW,BLUE,GREEN,BLUE,RED,YELLOW,GREEN,WHITE,	WHITE,BLUE,RED,ORANGE,GREEN,WHITE,ORANGE,WHITE,YELLOW,	YELLOW,RED,GREEN,ORANGE,ORANGE,WHITE,ORANGE,GREEN,RED,	YELLOW,RED,RED,WHITE,RED,BLUE,BLUE,YELLOW,WHITE,	FUBUUFLBLURRDRFFUDDUFBFRUBDBLRRDLBFFURBLLDLBRDFRLBDLDU
WHITE,BLUE,RED,GREEN,YELLOW,RED,YELLOW,WHITE,WHITE,	BLUE,GREEN,RED,RED,WHITE,RED,BLUE,GREEN,RED,	ORANGE,ORANGE,BLUE,ORANGE,BLUE,YELLOW,YELLOW,ORANGE,BLUE,	GREEN,YELLOW,ORANGE,WHITE,GREEN,ORANGE,GREEN,YELLOW,RED,	GREEN,WHITE,GREEN,BLUE,ORANGE,YELLOW,WHITE,BLUE,ORANGE,	ORANGE,GREEN,WHITE,RED,RED,BLUE,YELLOW,WHITE,YELLOW,	DFRBURUDDLBDRRFUDULLFLFUULFFBRRDRFBRBDBFLUDFLBULDBLBUR
RED,ORANGE,RED,YELLOW,YELLOW,RED,WHITE,ORANGE,BLUE,	BLUE,YELLOW,ORANGE,RED,WHITE,YELLOW,WHITE,BLUE,ORANGE,	ORANGE,BLUE,RED,BLUE,BLUE,WHITE,WHITE,ORANGE,YELLOW,	GREEN,WHITE,GREEN,GREEN,GREEN,WHITE,YELLOW,WHITE,GREEN,	YELLOW,GREEN,BLUE,RED,ORANGE,YELLOW,ORANGE,GREEN,RED,	YELLOW,BLUE,WHITE,GREEN,RED,ORANGE,BLUE,RED,GREEN,	RLRUURDLFUFDBRLFRBLFRFFDDLUFULRDUDFLUBFRLULBRBDBBBDUDB
GREEN,GREEN,YELLOW,RED,YELLOW,ORANGE,RED,YELLOW,YELLOW,	YELLOW,YELLOW,ORANGE,YELLOW,WHITE,RED,WHITE,WHITE,YELLOW,	WHITE,BLUE,GREEN,BLUE,BLUE,WHITE,BLUE,RED,WHITE,	BLUE,ORANGE,RED,WHITE,GREEN,YELLOW,RED,ORANGE,ORANGE,	WHITE,GREEN,BLUE,ORANGE,ORANGE,WHITE,BLUE,GREEN,RED,	ORANGE,BLUE,ORANGE,GREEN,RED,RED,GREEN,BLUE,GREEN,	BBURULRUULFLBRRBFBDFBFFDFRDUULUDRDDUDBFLLDFBRFLRDBURLL
ORANGE,GREEN,ORANGE,ORANGE,YELLOW,GREEN,YELLOW,BLUE,YELLOW,	BLUE,RED,GREEN,RED,WHITE,WHITE,ORANGE,GREEN,WHITE,	RED,ORANGE,RED,WHITE,BLUE,ORANGE,WHITE,BLUE,ORANGE,	GREEN,YELLOW,WHITE,YELLOW,GREEN,YELLOW,GREEN,WHITE,YELLOW,	BLUE,GREEN,BLUE,RED,ORANGE,BLUE,BLUE,WHITE,RED,	GREEN,RED,YELLOW,YELLOW,RED,BLUE,WHITE,ORANGE,RED,	LBLLUBUFUBRUURFDLRRLRDFLDFLFRBRDDLBDFBFRLFFDRBUDUBUBDU
BLUE,YELLOW,BLUE,GREEN,YELLOW,GREEN,YELLOW,RED,WHITE,	WHITE,GREEN,ORANGE,BLUE,WHITE,ORANGE,YELLOW,RED,ORANGE,	ORANGE,WHITE,RED,BLUE,BLUE,ORANGE,GREEN,WHITE,WHITE,	YELLOW,RED,YELLOW,ORANGE,GREEN,RED,WHITE,GREEN,GREEN,	ORANGE,YELLOW,GREEN,BLUE,ORANGE,YELLOW,RED,WHITE,RED,	BLUE,ORANGE,RED,WHITE,RED,BLUE,GREEN,YELLOW,BLUE,	FUFBUBURDFLRDRFBUFLDRFFLBDDDBLFDLURLLUBFLURDRURULBRDBB
RED,YELLOW,RED,BLUE,YELLOW,WHITE,WHITE,WHITE,BLUE,	RED,GREEN,BLUE,GREEN,WHITE,ORANGE,GREEN,WHITE,ORANGE,	BLUE,BLUE,YELLOW,WHITE,BLUE,ORANGE,WHITE,ORANGE,WHITE,	YELLOW,RED,YELLOW,GREEN,GREEN,BLUE,YELLOW,ORANGE,ORANGE,	BLUE,RED,RED,YELLOW,ORANGE,RED,WHITE,RED,GREEN,	ORANGE,GREEN,GREEN,BLUE,RED,YELLOW,ORANGE,YELLOW,GREEN,	RURFUDDDFLBBFRULUBFFUDFLDLDRBFBDLBDLFRRULRDRBURUBBFULL
WHITE,GREEN,RED,WHITE,YELLOW,ORANGE,GREEN,BLUE,GREEN,	BLUE,YELLOW,GREEN,YELLOW,WHITE,YELLOW,WHITE,WHITE,BLUE,	WHITE,RED,ORANGE,ORANGE,BLUE,RED,ORANGE,GREEN,RED,	BLUE,ORANGE,ORANGE,YELLOW,GREEN,RED,YELLOW,GREEN,BLUE,	GREEN,BLUE,RED,GREEN,ORANGE,BLUE,RED,BLUE,WHITE,	YELLOW,WHITE,YELLOW,WHITE,RED,RED,YELLOW,ORANGE,ORANGE,	DBRDULBFBUDUDRRULLDRLLFRLBRFUBUDUDDFBFRBLFRFDFLLUBRUBF
YELLOW,RED,GREEN,ORANGE,YELLOW,GREEN,BLUE,WHITE,YELLOW,	GREEN,BLUE,BLUE,ORANGE,WHITE,RED,BLUE,BLUE,GREEN,	RED,ORANGE,RED,GREEN,BLUE,BLUE,ORANGE,WHITE,WHITE,	WHITE,WHITE,BLUE,RED,GREEN,WHITE,WHITE,YELLOW,ORANGE,	RED,GREEN,WHITE,GREEN,ORANGE,YELLOW,YELLOW,YELLOW,YELLOW,	GREEN,RED,RED,ORANGE,RED,BLUE,ORANGE,YELLOW,ORANGE,	URBLUBFDUBRRLRFLULRLRBFFLDDBFFLDRFFBRBDBLUUUUDDFRBDDUL
GREEN,YELLOW,YELLOW,ORANGE,YELLOW,RED,RED,WHITE,BLUE,	WHITE,RED,RED,GREEN,WHITE,RED,YELLOW,YELLOW,ORANGE,	GREEN,ORANGE,WHITE,WHITE,BLUE,ORANGE,BLUE,GREEN,BLUE,	GREEN,BLUE,WHITE,WHITE,GREEN,WHITE,BLUE,ORANGE,ORANGE,	ORANGE,GREEN,WHITE,RED,ORANGE,BLUE,GREEN,YELLOW,ORANGE,	RED,YELLOW,RED,BLUE,RED,GREEN,YELLOW,BLUE,YELLOW,	BUULURRDFRURFRBUFUBLDDFLFBFDRRBDRUULLBDRLFBULBFDDBDFLL
BLUE,YELLOW,RED,GREEN,YELLOW,WHITE,ORANGE,RED,RED,	RED,RED,ORANGE,WHITE,WHITE,BLUE,YELLOW,ORANGE,ORANGE,	GREEN,YELLOW,GREEN,BLUE,BLUE,RED,YELLOW,WHITE,WHITE,	GREEN,ORANGE,WHITE,GREEN,GREEN,RED,WHITE,BLUE,BLUE,	RED,YELLOW,YELLOW,GREEN,ORANGE,YELLOW,ORANGE,ORANGE,BLUE,	YELLOW,GREEN,WHITE,BLUE,RED,ORANGE,GREEN,WHITE,BLUE,	FURBUDLRRUBDFRLBDFBUBFFRUDDRRLDDFULLRUUBLULLFBLDBBRDFF
ORANGE,ORANGE,RED,WHITE,YELLOW,GREEN,YELLOW,GREEN,GREEN,	WHITE,RED,BLUE,BLUE,WHITE,YELLOW,YELLOW,ORANGE,BLUE,	RED,ORANGE,ORANGE,ORANGE,BLUE,YELLOW,GREEN,BLUE,WHITE,	YELLOW,WHITE,GREEN,WHITE,GREEN,RED,WHITE,BLUE,BLUE,	WHITE,BLUE,BLUE,WHITE,ORANGE,YELLOW,ORANGE,YELLOW,RED,	YELLOW,RED,GREEN,GREEN,RED,GREEN,ORANGE,RED,RED,	LLRDUBUBBURBBRBLRRRLLLFUBFDDRFFDUULFDFFDLULURUDBDBRDFF
BLUE,WHITE,RED,YELLOW,YELLOW,GREEN,GREEN,GREEN,ORANGE,	YELLOW,RED,YELLOW,BLUE,WHITE,RED,BLUE,BLUE,YELLOW,	WHITE,YELLOW,GREEN,ORANGE,BLUE,RED,GREEN,YELLOW,RED,	YELLOW,GREEN,ORANGE,WHITE,GREEN,WHITE,ORANGE,YELLOW,RED,	WHITE,ORANGE,RED,BLUE,ORANGE,GREEN,WHITE,ORANGE,ORANGE,	WHITE,RED,GREEN,WHITE,RED,ORANGE,BLUE,BLUE,BLUE,	FDRUUBBBLDRBDRLFFFDUBLFRBURURUFDRFFUDLRFLBDLLUBLDBDLUR
BLUE,GREEN,GREEN,WHITE,YELLOW,ORANGE,ORANGE,BLUE,RED,	ORANGE,ORANGE,BLUE,YELLOW,WHITE,WHITE,WHITE,GREEN,ORANGE,	WHITE,RED,GREEN,GREEN,BLUE,BLUE,YELLOW,YELLOW,RED,	WHITE,YELLOW,RED,WHITE,GREEN,YELLOW,BLUE,WHITE,ORANGE,	YELLOW,RED,GREEN,BLUE,ORANGE,RED,BLUE,RED,GREEN,	YELLOW,GREEN,RED,ORANGE,RED,ORANGE,WHITE,BLUE,YELLOW,	FBBDULLFRUBRLRLDFUDRBBFFUURLLFUDDDBLURBFLRFRBDURDBUFDL
ORANGE,ORANGE,GREEN,WHITE,YELLOW,RED,RED,WHITE,YELLOW,	BLUE,YELLOW,YELLOW,BLUE,WHITE,RED,ORANGE,BLUE,BLUE,	GREEN,GREEN,BLUE,GREEN,BLUE,WHITE,WHITE,GREEN,GREEN,	ORANGE,YELLOW,YELLOW,BLUE,GREEN,RED,YELLOW,YELLOW,BLUE,	GREEN,RED,WHITE,BLUE,ORANGE,ORANGE,WHITE,WHITE,RED,	RED,GREEN,WHITE,ORANGE,RED,ORANGE,RED,YELLOW,ORANGE,	LLBDURRDURBDLRLRULBBFBFDDBBFUUFDRLFFBRDFLLDDRLUUFBRUUF
ORANGE,BLUE,BLUE,WHITE,YELLOW,GREEN,ORANGE,RED,WHITE,	YELLOW,GREEN,RED,RED,WHITE,RED,WHITE,GREEN,YELLOW,	WHITE,YELLOW,BLUE,ORANGE,BLUE,BLUE,BLUE,WHITE,YELLOW,	RED,WHITE,YELLOW,BLUE,GREEN,BLUE,ORANGE,YELLOW,RED,	GREEN,ORANGE,GREEN,RED,ORANGE,YELLOW,GREEN,GREEN,RED,	ORANGE,ORANGE,WHITE,YELLOW,RED,ORANGE,GREEN,WHITE,BLUE,	LFFDUBLRDLLDURLBDFDUFLFFFDUUBRRDRDBUBLBRLUBBRRDUFBFLUR
BLUE,GREEN,YELLOW,WHITE,YELLOW,GREEN,GREEN,RED,GREEN,	WHITE,ORANGE,RED,BLUE,WHITE,RED,BLUE,YELLOW,GREEN,	WHITE,GREEN,ORANGE,ORANGE,BLUE,WHITE,RED,BLUE,BLUE,	GREEN,ORANGE,ORANGE,YELLOW,GREEN,WHITE,WHITE,BLUE,ORANGE,	WHITE,GREEN,RED,RED,ORANGE,YELLOW,YELLOW,WHITE,BLUE,	YELLOW,YELLOW,RED,ORANGE,RED,RED,YELLOW,BLUE,ORANGE,	FBUDUBBRBUURLRRUFLDBLLFDRFFDLRFDRFUBDBRRLUUDFBLLUBDDFL
YELLOW,ORANGE,GREEN,BLUE,YELLOW,RED,GREEN,WHITE,GREEN,	RED,GREEN,RED,YELLOW,WHITE,WHITE,WHITE,ORANGE,YELLOW,	YELLOW,GREEN,RED,ORANGE,BLUE,YELLOW,BLUE,RED,YELLOW,	ORANGE,WHITE,BLUE,YELLOW,GREEN,YELLOW,ORANGE,GREEN,ORANGE,	RED,RED,ORANGE,ORANGE,ORANGE,BLUE,BLUE,GREEN,WHITE,	WHITE,WHITE,WHITE,BLUE,RED,RED,GREEN,BLUE,BLUE,	ULBFURBDBDDDFRRBFFUBRLFUFRURBRUDDDLURRLLLFFBDLDFUBULBL
WHITE,YELLOW,GREEN,GREEN,YELLOW,BLUE,ORANGE,BLUE,BLUE,	BLUE,GREEN,WHITE,WHITE,WHITE,YELLOW,RED,RED,YELLOW,	WHITE,YELLOW,YELLOW,WHITE,BLUE,ORANGE,ORANGE,RED,RED,	YELLOW,GREEN,RED,WHITE,GREEN,ORANGE,BLUE,YELLOW,YELLOW,	BLUE,ORANGE,GREEN,BLUE,ORANGE,RED,GREEN,BLUE,WHITE,	ORANGE,RED,ORANGE,WHITE,RED,GREEN,GREEN,ORANGE,RED,	DUBBUFLFFLRLDRBBLRDUUDFLLRRFBDDDURRUFLBFLRBFDUBRDBLFUU
GREEN,RED,WHITE,BLUE,YELLOW,YELLOW,YELLOW,YELLOW,YELLOW,	YELLOW,WHITE,RED,BLUE,WHITE,ORANGE,GREEN,ORANGE,WHITE,	RED,ORANGE,GREEN,YELLOW,BLUE,RED,ORANGE,GREEN,GREEN,	ORANGE,YELLOW,YELLOW,BLUE,GREEN,RED,RED,GREEN,ORANGE,	RED,RED,BLUE,GREEN,ORANGE,BLUE,WHITE,ORANGE,BLUE,	ORANGE,GREEN,BLUE,WHITE,RED,WHITE,WHITE,WHITE,BLUE,	BRDFUUUUULBFDRDDDFRLBUFRLBBUDRFDLBLDRRFBLFDLFLUUFBRRBL
WHITE,GREEN,RED,ORANGE,YELLOW,BLUE,BLUE,YELLOW,GREEN,	RED,YELLOW,WHITE,WHITE,WHITE,WHITE,BLUE,YELLOW,YELLOW,	ORANGE,BLUE,RED,BLUE,BLUE,YELLOW,GREEN,ORANGE,GREEN,	WHITE,ORANGE,BLUE,WHITE,GREEN,RED,GREEN,RED,YELLOW,	ORANGE,WHITE,YELLOW,GREEN,ORANGE,RED,RED,RED,YELLOW,	WHITE,ORANGE,BLUE,GREEN,RED,BLUE,ORANGE,GREEN,ORANGE,	DBRLUFFUBDLFBRFLBLLFRFFUBLBRUDDDDFUULDUBLRRRUDLFDBRBRU
ORANGE,ORANGE,YELLOW,RED,YELLOW,ORANGE,WHITE,YELLOW,WHITE,	RED,GREEN,RED,BLUE,WHITE,WHITE,GREEN,GREEN,RED,	RED,BLUE,BLUE,RED,BLUE,ORANGE,BLUE,RED,YELLOW,	BLUE,WHITE,GREEN,YELLOW,GREEN,ORANGE,YELLOW,WHITE,YELLOW,	WHITE,BLUE,GREEN,BLUE,ORANGE,YELLOW,ORANGE,WHITE,WHITE,	ORANGE,GREEN,ORANGE,YELLOW,RED,GREEN,GREEN,RED,BLUE,	LLURULDUDLBLURBBRFRFFRFLFRURBRFDDBBRDFBFLULDDFDBUBLUDU
YELLOW,BLUE,ORANGE,RED,YELLOW,ORANGE,GREEN,ORANGE,YELLOW,	ORANGE,RED,WHITE,WHITE,WHITE,RED,GREEN,GREEN,ORANGE,	WHITE,BLUE,RED,GREEN,BLUE,ORANGE,BLUE,YELLOW,BLUE,	WHITE,WHITE,BLUE,YELLOW,GREEN,WHITE,WHITE,RED,YELLOW,	RED,BLUE,RED,GREEN,ORANGE,YELLOW,ORANGE,ORANGE,YELLOW,	GREEN,YELLOW,GREEN,GREEN,RED,BLUE,RED,WHITE,BLUE,	UFLRULBLUBUBBRFRDFDFRBFLFUFLRDDDRBBLRFRBLULLUDDFUBDDRU
GREEN,RED,RED,ORANGE,YELLOW,BLUE,GREEN,BLUE,BLUE,	RED,WHITE,ORANGE,RED,WHITE,YELLOW,WHITE,GREEN,GREEN,	RED,WHITE,YELLOW,BLUE,BLUE,RED,YELLOW,ORANGE,BLUE,	WHITE,GREEN,WHITE,GREEN,GREEN,GREEN,ORANGE,WHITE,RED,	ORANGE,BLUE,YELLOW,ORANGE,ORANGE,YELLOW,GREEN,YELLOW,BLUE,	ORANGE,RED,BLUE,WHITE,RED,YELLOW,WHITE,ORANGE,YELLOW,	BRRLUFBFFLRFDRUDLURDUFFRULFRDLRDUDBBLFULLUBUFDBDBBBLDR
WHITE,RED,WHITE,YELLOW,YELLOW,GREEN,RED,RED,ORANGE,	YELLOW,ORANGE,BLUE,WHITE,WHITE,YELLOW,WHITE,GREEN,GREEN,	YELLOW,BLUE,YELLOW,ORANGE,BLUE,GREEN,BLUE,WHITE,ORANGE,	GREEN,WHITE,RED,BLUE,GREEN,GREEN,RED,YELLOW,ORANGE,	BLUE,RED,GREEN,WHITE,ORANGE,YELLOW,BLUE,BLUE,RED,	GREEN,ORANGE,ORANGE,RED,RED,ORANGE,YELLOW,BLUE,WHITE,	DRDUUBRRLBLLRRLUFDUFULFBFDLULFDDUDBBFRBDLUFFRBDRFBBRUL
ORANGE,ORANGE,BLUE,ORANGE,YELLOW,GREEN,RED,YELLOW,RED,	WHITE,RED,GREEN,RED,WHITE,RED,ORANGE,WHITE,YELLOW,	YELLOW,GREEN,BLUE,RED,BLUE,YELLOW,ORANGE,GREEN,WHITE,	ORANGE,BLUE,YELLOW,GREEN,GREEN,BLUE,BLUE,ORANGE,BLUE,	GREEN,YELLOW,GREEN,WHITE,ORANGE,WHITE,WHITE,BLUE,GREEN,	WHITE,ORANGE,YELLOW,BLUE,RED,WHITE,RED,YELLOW,RED,	LLFLUBRURDLUFRDRURUBFRFULBDDRBRDRLDUBUBDLDDFBLFUBBFFLF
ORANGE,ORANGE,GREEN,RED,YELLOW,BLUE,YELLOW,GREEN,GREEN,	ORANGE,YELLOW,YELLOW,WHITE,WHITE,BLUE,RED,RED,BLUE,	GREEN,WHITE,ORANGE,RED,BLUE,GREEN,GREEN,ORANGE,BLUE,	WHITE,GREEN,WHITE,ORANGE,GREEN,GREEN,WHITE,YELLOW,BLUE,	BLUE,WHITE,RED,RED,ORANGE,BLUE,YELLOW,BLUE,WHITE,	YELLOW,YELLOW,RED,YELLOW,RED,WHITE,ORANGE,ORANGE,RED,	LLBRUFUBBUURURDLLRBDLRFBBLFLUUDDFRRFFDRRLFUFDDBDLBBDUF
BLUE,ORANGE,ORANGE,YELLOW,YELLOW,YELLOW,ORANGE,ORANGE,YELLOW,	ORANGE,RED,GREEN,GREEN,WHITE,YELLOW,RED,WHITE,GREEN,	YELLOW,WHITE,GREEN,GREEN,BLUE,GREEN,GREEN,BLUE,RED,	BLUE,YELLOW,RED,ORANGE,GREEN,RED,RED,BLUE,WHITE,	YELLOW,RED,BLUE,WHITE,ORANGE,ORANGE,BLUE,WHITE,WHITE,	ORANGE,GREEN,WHITE,RED,RED,BLUE,YELLOW,BLUE,WHITE,	FLLUUULLULBDRRFUFDUDBBFBBFRLRBBDURDBURFDLLFDDFURLBRRFD
BLUE,YELLOW,RED,BLUE,YELLOW,WHITE,GREEN,YELLOW,WHITE,	BLUE,BLUE,RED,GREEN,WHITE,YELLOW,ORANGE,WHITE,BLUE,	YELLOW,GREEN,RED,GREEN,BLUE,RED,YELLOW,ORANGE,GREEN,	YELLOW,ORANGE,RED,ORANGE,GREEN,WHITE,ORANGE,BLUE,WHITE,	YELLOW,YELLOW,ORANGE,RED,ORANGE,RED,GREEN,WHITE,ORANGE,	BLUE,ORANGE,GREEN,BLUE,RED,GREEN,WHITE,RED,WHITE,	FURFUDBUDFLBFRBDRDUBRBFRULBFFRBDULDFUULRLRBDLULRLBDLFD
GREEN,BLUE,BLUE,GREEN,YELLOW,BLUE,YELLOW,GREEN,BLUE,	WHITE,ORANGE,ORANGE,GREEN,WHITE,YELLOW,YELLOW,BLUE,ORANGE,	GREEN,RED,ORANGE,BLUE,BLUE,GREEN,GREEN,WHITE,YELLOW,	RED,WHITE,ORANGE,RED,GREEN,YELLOW,GREEN,YELLOW,RED,	YELLOW,YELLOW,RED,ORANGE,ORANGE,ORANGE,BLUE,ORANGE,RED,	WHITE,RED,WHITE,WHITE,RED,WHITE,BLUE,RED,WHITE,	BFFBUFUBFDRDDRDFRDBRLFFBBDUDLLBDUUFLUURLLLFLRRDLRBUBUR
YELLOW,BLUE,BLUE,WHITE,YELLOW,YELLOW,ORANGE,YELLOW,YELLOW,	WHITE,YELLOW,BLUE,WHITE,WHITE,BLUE,BLUE,GREEN,ORANGE,	WHITE,ORANGE,RED,RED,BLUE,GREEN,GREEN,RED,WHITE,	YELLOW,RED,GREEN,ORANGE,GREEN,GREEN,BLUE,YELLOW,RED,	ORANGE,ORANGE,GREEN,RED,ORANGE,WHITE,WHITE,GREEN,RED,	GREEN,BLUE,RED,ORANGE,RED,BLUE,ORANGE,WHITE,YELLOW,	UFFDUULUUBFRLRFLDUDLRRFBBRDDUFDDFFBLLLBRLDDBRURBLBBFUR
WHITE,WHITE,RED,GREEN,YELLOW,YELLOW,GREEN,YELLOW,BLUE,	ORANGE,ORANGE,RED,WHITE,WHITE,GREEN,ORANGE,YELLOW,ORANGE,	WHITE,BLUE,RED,RED,BLUE,RED,BLUE,BLUE,YELLOW,	WHITE,RED,ORANGE,WHITE,GREEN,GREEN,WHITE,ORANGE,GREEN,	GREEN,WHITE,RED,ORANGE,ORANGE,BLUE,YELLOW,BLUE,YELLOW,	YELLOW,GREEN,BLUE,YELLOW,RED,ORANGE,GREEN,RED,BLUE,	DDRBUUBUFUBFURLBRFDFRRFRFFULLRDDBLULBDRLLFUFUDRLDBBDLB
GREEN,WHITE,RED,ORANGE,YELLOW,GREEN,WHITE,GREEN,WHITE,	ORANGE,ORANGE,ORANGE,YELLOW,WHITE,ORANGE,BLUE,WHITE,YELLOW,	RED,YELLOW,RED,RED,BLUE,YELLOW,WHITE,WHITE,WHITE,	YELLOW,GREEN,ORANGE,WHITE,GREEN,ORANGE,ORANGE,BLUE,YELLOW,	YELLOW,YELLOW,GREEN,GREEN,ORANGE,BLUE,RED,RED,BLUE,	BLUE,RED,GREEN,BLUE,RED,RED,GREEN,BLUE,BLUE,	BDRLUBDBDFRBFRRBFFRURRFUDDDLLLUDLFDUUUBBLFRRFUBLDBLLFU
RED,BLUE,ORANGE,YELLOW,YELLOW,BLUE,BLUE,WHITE,BLUE,	BLUE,BLUE,WHITE,ORANGE,WHITE,WHITE,YELLOW,WHITE,WHITE,	YELLOW,ORANGE,ORANGE,GREEN,BLUE,BLUE,YELLOW,YELLOW,BLUE,	WHITE,WHITE,GREEN,ORANGE,GREEN,YELLOW,GREEN,RED,ORANGE,	YELLOW,RED,RED,GREEN,ORANGE,RED,GREEN,YELLOW,ORANGE,	WHITE,RED,GREEN,ORANGE,RED,GREEN,RED,GREEN,RED,	RFLUUFFDFDRBLRBRBRULLBFFUUFFFDLDDUDDURRBLRBULDDBLBUBRL
WHITE,YELLOW,RED,BLUE,YELLOW,ORANGE,YELLOW,GREEN,YELLOW,	YELLOW,GREEN,YELLOW,BLUE,WHITE,RED,WHITE,BLUE,RED,	ORANGE,RED,ORANGE,RED,BLUE,GREEN,BLUE,WHITE,GREEN,	WHITE,ORANGE,ORANGE,WHITE,GREEN,GREEN,WHITE,YELLOW,ORANGE,	GREEN,RED,GREEN,YELLOW,ORANGE,WHITE,BLUE,ORANGE,RED,	BLUE,WHITE,BLUE,ORANGE,RED,BLUE,RED,YELLOW,GREEN,	DURFULUBUFDFLRFRUBLRLRFBFDBUBUFDRDFRBRBULDFLRDLLDBBDUL
GREEN,RED,WHITE,BLUE,YELLOW,GREEN,YELLOW,GREEN,YELLOW,	RED,WHITE,ORANGE,WHITE,WHITE,ORANGE,BLUE,ORANGE,BLUE,	BLUE,RED,GREEN,WHITE,BLUE,YELLOW,WHITE,BLUE,BLUE,	GREEN,BLUE,YELLOW,ORANGE,GREEN,GREEN,RED,WHITE,RED,	RED,YELLOW,ORANGE,ORANGE,ORANGE,RED,WHITE,GREEN,GREEN,	ORANGE,YELLOW,ORANGE,RED,RED,YELLOW,WHITE,BLUE,YELLOW,	BRDFUBUBULULRRUDFUFRBDFUDFFRDLDDLFLFRULLLRDBBBFULBBRDR
ORANGE,BLUE,WHITE,ORANGE,YELLOW,YELLOW,WHITE,RED,WHITE,	BLUE,GREEN,RED,YELLOW,WHITE,WHITE,YELLOW,GREEN,BLUE,	BLUE,BLUE,ORANGE,GREEN,BLUE,YELLOW,RED,WHITE,YELLOW,	RED,ORANGE,WHITE,BLUE,GREEN,WHITE,YELLOW,RED,ORANGE,	BLUE,WHITE,RED,RED,ORANGE,ORANGE,GREEN,ORANGE,YELLOW,	GREEN,GREEN,GREEN,RED,RED,YELLOW,GREEN,BLUE,ORANGE,	LFDLUUDRDBBBRRUBFLFFLBFURDUFBRUDDUBFFDRRLLBLURLDFBDURL
BLUE,YELLOW,WHITE,ORANGE,YELLOW,GREEN,WHITE,ORANGE,BLUE,	YELLOW,RED,RED,GREEN,WHITE,BLUE,RED,WHITE,GREEN,	ORANGE,WHITE,YELLOW,BLUE,BLUE,ORANGE,GREEN,YELLOW,BLUE,	RED,GREEN,WHITE,YELLOW,GREEN,RED,WHITE,GREEN,YELLOW,	RED,BLUE,BLUE,WHITE,ORANGE,RED,GREEN,ORANGE,ORANGE,	ORANGE,RED,GREEN,YELLOW,RED,BLUE,YELLOW,WHITE,ORANGE,	FUDLUBDLFLRBURFUDLLDUFFLBUFURRBDFRDBRFFDLRBLLRBDUBRDBU
ORANGE,YELLOW,BLUE,BLUE,YELLOW,YELLOW,RED,WHITE,BLUE,	WHITE,WHITE,ORANGE,ORANGE,WHITE,RED,RED,ORANGE,WHITE,	YELLOW,GREEN,ORANGE,YELLOW,BLUE,BLUE,GREEN,RED,WHITE,	ORANGE,BLUE,YELLOW,BLUE,GREEN,YELLOW,RED,GREEN,BLUE,	GREEN,ORANGE,GREEN,GREEN,ORANGE,RED,YELLOW,WHITE,RED,	WHITE,ORANGE,YELLOW,RED,RED,WHITE,GREEN,GREEN,BLUE,	LUFFUURDFDLURRDBBFUBLUFFBRDDDLLDRRLDBLBBLRUDRLFUFBURBF
YELLOW,RED,WHITE,GREEN,YELLOW,WHITE,ORANGE,ORANGE,GREEN,	ORANGE,ORANGE,BLUE,RED,WHITE,GREEN,YELLOW,ORANGE,RED,	GREEN,WHITE,RED,GREEN,BLUE,WHITE,WHITE,YELLOW,RED,	GREEN,BLUE,RED,BLUE,GREEN,RED,YELLOW,BLUE,BLUE,	GREEN,YELLOW,YELLOW,WHITE,ORANGE,RED,ORANGE,YELLOW,BLUE,	WHITE,BLUE,ORANGE,GREEN,RED,YELLOW,WHITE,ORANGE,BLUE,	URDBUDLLBDFLBRUDLFBDRBFDDURLLFRDBULRBUUDLRLUFBFRFBRUFF
RED,ORANGE,BLUE,WHITE,YELLOW,BLUE,BLUE,GREEN,ORANGE,	GREEN,WHITE,RED,RED,WHITE,WHITE,BLUE,YELLOW,RED,	ORANGE,WHITE,GREEN,YELLOW,BLUE,YELLOW,ORANGE,ORANGE,GREEN,	RED,BLUE,GREEN,GREEN,GREEN,BLUE,YELLOW,RED,WHITE,	YELLOW,RED,YELLOW,RED,ORANGE,ORANGE,ORANGE,GREEN,YELLOW,	WHITE,YELLOW,WHITE,GREEN,RED,ORANGE,WHITE,BLUE,BLUE,	RLFDUFFBLDUDBRLDFFLDBUFULLBBDRRDDFURURURLLLBURFBBBFURD
