Cube	Twist	Flip	Parity	FRtoBR	URFtoDLF	URtoDF	URtoUL	UBtoDF	CornerPermutation	CornerOrientation	EdgePermutation	EdgeOrientation
BDRLUBDBDFRBFRRBFFRURRFUDDDLLLUDLFDUUUBBLFRRFUBLDBLLFU	124	867	1	8815	14964	414536	440	1127	DFR,DRB,ULB,UBR,DBL,DLF,URF,UFL	0,0,1,1,1,2,1,0	BR,UB,UL,DB,FL,DL,UR,DF,UF,FR,BL,DR	0,1,1,0,1,1,0,0,0,1,1,0
RFLUUFFDFDRBLRBRBRULLBFFUUFFFDLDDUDDURRBLRBULDDBLBUBRL	1086	176	0	7988	2356	188238	192	867	DLF,URF,UBR,DBL,DFR,UFL,ULB,DRB	1,1,1,1,0,2,0,0	FR,DL,UR,DF,DB,UF,UL,DR,FL,BR,UB,BL	0,0,0,1,0,1,1,0,0,0,0,1
DURFULUBUFDFLRFRUBLRLRFBFDBUBUFDRDFRBRBULDFLRDLLDBBDUL	27	1131	1	7374	2958	636584	266	1315	UFL,ULB,DBL,DFR,UBR,URF,DLF,DRB	0,0,0,1,0,0,0,2	DL,BR,FR,UL,UR,DB,FL,UF,BL,DR,UB,DF	1,0,0,0,1,1,0,1,0,1,1,0
BRDFUBUBULULRRUDFUFRBDFUDFFRDLDDLFLFRULLLRDBBBFULBBRDR	188	1480	0	6918	10589	482101	1171	569	ULB,UFL,UBR,DBL,DLF,DRB,DFR,URF	0,0,2,0,2,2,2,1	UB,BR,UF,FR,FL,DF,DB,DL,UR,DR,BL,UL	1,0,1,1,1,0,0,1,0,0,0,1
LFDLUUDRDBBBRRUBFLFFLBFURDUFBRUDDUBFFDRRLLBLURLDFBDURL	174	800	0	6596	17531	583526	1196	761	DBL,DFR,DLF,DRB,UBR,URF,ULB,UFL	0,0,2,0,1,1,0,2	UB,FR,DL,FL,DF,DB,UL,BR,UR,BL,DR,UF	0,1,1,0,0,1,0,0,0,0,0,1
FUDLUBDLFLRBURFUDLLDUFFLBUFURRBDFRDBRFFDLRBLLRBDUBRDBU	1639	869	0	10234	2443	578489	1193	779	UFL,DLF,DFR,DRB,URF,ULB,UBR,DBL	2,0,2,0,2,0,1,2	BR,DL,FL,UB,DF,UR,BL,DB,UL,FR,DR,UF	0,1,1,0,1,1,0,0,1,0,1,0
LUFFUURDFDLURRDBBFUBLUFFBRDDDLLDRRLDBLBBLRUDRLFUFBURBF	1199	88	1	4094	9489	614247	525	1291	DLF,UBR,ULB,UFL,DBL,DRB,URF,DFR	1,1,2,2,1,0,2,0	UL,DB,FL,UF,BR,DR,DL,BL,FR,UR,UB,DF	0,0,0,0,1,0,1,1,0,0,0,1
URDBUDLLBDFLBRUDLFBDRBFDDURLLFRDBULRBUUDLRLUFBFRFBRUFF	1239	953	0	2717	17761	533030	1112	728	DRB,ULB,UBR,DBL,DFR,DLF,UFL,URF	1,2,0,0,2,2,0,2	DF,DL,UB,FR,BL,UL,UR,FL,DB,BR,DR,UF	0,1,1,1,0,1,1,1,0,0,1,1
RLFDUFFBLDUDBRLDFFLDBUFULLBBDRRDDFURURURLLLBURFBBBFURD	1372	1680	0	1937	15818	129975	631	388	DBL,UFL,UBR,DFR,DRB,ULB,DLF,URF	1,2,1,2,2,1,1,2	UF,DB,DR,FL,DF,DL,BR,UR,UB,UL,FR,BL	1,1,0,1,0,0,1,0,0,0,0,0
BRDBUFBFBUURBRRFUUDLLDFDDDRLFULDLBULRURLLRDBFFFUBBDFRL	1142	1520	0	6625	8616	83342	250	581	ULB,DRB,UBR,DFR,URF,DLF,DBL,UFL	1,1,2,0,0,2,2,1	UF,FL,UB,FR,UL,DF,BL,UR,DB,DR,DL,BR	1,0,1,1,1,1,1,0,0,0,0,0
BRBFUURBFRRDURLBDDFRDFFBBLRUDDLDRUBFRUUFLDLULLFUBBLLDF	2160	479	1	6390	12999	115284	126	697	DFR,URF,UBR,DBL,DRB,ULB,UFL,DLF	2,2,2,2,0,0,0,1	UR,BR,UF,FR,DR,DL,UL,DB,UB,DF,FL,BL	0,0,1,1,1,0,1,1,1,1,1,0
FLDRUBBRUBDRBRRLRFDFRDFUUUBFFDDDUULRDDRLLFBLLFULBBFUBL	330	1960	1	5141	14668	110906	116	685	UBR,DRB,DLF,DFR,DBL,UFL,ULB,URF	0,1,1,0,0,2,0,2	DB,FR,DR,UL,UR,UF,DL,BL,UB,DF,FL,BR	1,1,1,1,0,1,0,1,0,0,0,0
BFRLURUFFLFBBRRDLDLLUDFRULFRDLFDURBRLBBRLBDUFUDDDBUFUB	1673	1436	0	11736	7746	560303	837	1136	UFL,ULB,DBL,UBR,DLF,URF,DRB,DFR	2,0,2,1,2,2,2,1	FR,FL,BL,DF,UL,DL,UF,UB,BR,DB,UR,DR	1,0,1,1,0,0,1,1,1,0,0,0
BDFBUUFDLUFDLRUFURDBFLFDUURLBUDDRDLBDRLFLFLRBRFRLBRUBB	1113	107	0	3177	7483	345915	1027	200	UFL,DLF,DRB,DFR,URF,ULB,DBL,UBR	1,1,1,2,0,2,0,2	UF,DB,BR,DF,UR,UB,DR,BL,DL,FL,FR,UL	0,0,0,0,1,1,0,1,0,1,1,1
FDLBUBRLUBUFDRURRBDURFFLLDUDFFRDFDLLDLFRLUBBBUBLRBDUFR	360	1598	0	4222	5401	612423	1215	785	UBR,DFR,DLF,UFL,URF,DBL,DRB,ULB	0,1,1,1,1,0,0,2	UB,UL,BL,DB,FR,DF,BR,FL,DL,UF,DR,UR	1,1,0,0,0,1,1,1,1,1,0,1
BBFRURDDLBFRDRFDLDFLUDFRFDFLBLUDBRULDURULFBLUURRLBFBBU	1588	1317	0	9783	3476	330361	827	714	ULB,DFR,DRB,URF,DLF,UFL,UBR,DBL	2,0,1,1,2,1,1,1	FR,DL,UR,BR,BL,DB,UL,UB,DR,DF,UF,FL	1,0,1,0,0,1,0,0,1,0,1,1
BDBBULRBRFBLLRDFFBURUDFUDUULFLUDRRFDDUBLLRFRFUBRLBFLDD	1825	1384	1	11340	3519	149575	457	647	URF,UBR,DRB,ULB,UFL,DLF,DFR,DBL	2,1,1,1,1,2,1,0	BL,BR,UB,DB,FR,UF,UR,DF,UL,DR,FL,DL	1,0,1,0,1,1,0,1,0,0,0,1
URLBULDDULDBBRLRRFRRBFFLFLFDFDUDUURRBUBBLDLFLDFRUBDUBF	27	1422	1	2396	17041	439134	1104	517	ULB,DRB,UBR,DBL,DFR,DLF,UFL,URF	0,0,0,1,0,0,0,2	DL,DR,UB,FR,UR,FL,UF,BR,BL,DF,DB,UL	1,0,1,1,0,0,0,1,1,1,0,0
LDUFULFRURDRLRULBDDFFRFBFBURDBBDUBFLULLDLURRDBFFLBRBUD	337	1547	0	7388	356	636709	1249	776	URF,DLF,UFL,UBR,ULB,DFR,DRB,DBL	0,1,1,0,1,1,1,1	DL,FR,FL,DF,UB,DB,BR,UF,BL,UR,DR,UL	1,1,0,0,0,0,0,1,0,1,1,1
FDBBUDUBRDBLLRFBRRBUFRFULDDUFLFDURLUDRRLLDDUFULLRBFFBB	848	570	0	3129	6225	124278	450	575	DFR,UBR,DLF,ULB,DBL,UFL,DRB,URF	1,0,1,1,1,0,2,0	DB,UB,BR,DL,UR,DF,UF,BL,UL,DR,FL,FR	0,1,0,0,0,1,1,1,0,1,0,1
UFBBURLLBRFDBRRFURBDUDFLDBDLDRFDLUBDRUUFLRLDFLLFUBUBRF	2013	1876	0	9500	2774	625365	1287	611	UBR,ULB,URF,DBL,DFR,DLF,UFL,DRB	2,2,0,2,1,2,0,0	FR,DL,UB,FL,UL,DB,DF,BR,BL,DR,UF,UR	1,1,1,0,1,0,1,0,1,0,0,0
DURBULRULBUDRRRLDLDBULFFFBBULDDDRBBFLDFDLFUFRBFFUBLURR	1757	1379	0	588	13336	339019	1011	162	ULB,DFR,DLF,DRB,DBL,URF,UBR,UFL	2,1,0,2,0,0,2,2	UL,UB,DB,UF,DR,BL,DF,BR,FR,FL,DL,UR	1,0,1,0,1,1,0,0,0,1,1,0
UFBLURRDLDURRRLUFFFBBFFDULRFFBRDUFBDLBUDLRLBLDDBUBLRUD	1267	1433	1	3815	17923	403514	1026	482	DBL,URF,ULB,DRB,UBR,UFL,DLF,DFR	1,2,0,1,2,2,1,0	UR,DB,BL,DF,UF,FL,BR,UB,DR,FR,DL,UL	1,0,1,1,0,0,1,1,0,0,1,0
FLBUUDFBDBFURRRUBLLULRFFLLFBDRBDLDRDRLUFLDBDURFDBBUFUR	723	730	1	2596	8699	267350	860	506	DBL,UFL,DFR,UBR,URF,ULB,DRB,DLF	0,2,2,2,2,1,0,0	DF,UB,UL,FL,BL,DL,DB,UR,FR,DR,UF,BR	0,1,0,1,1,0,1,1,0,1,0,0
DRLUUBFBRBLURRLRUBLRDDFDLFUFUFFDBRDUBRUFLLFDDBFLUBLRBD	2011	209	1	11508	19234	397246	1062	455	DRB,UFL,DBL,ULB,URF,DLF,DFR,UBR	2,2,0,2,1,1,1,0	BL,BR,UR,FR,UB,UF,DF,DB,DR,DL,FL,UL	0,0,0,1,1,0,1,0,0,0,1,0
